scenario,strategy,seed,transactions,recovered,recovery_rate,recovered_revenue,attempted_revenue,stops
Amount -20%,Rule Based,789,2000,633,0.3165,752821.8559999999,1207310.936,998
Amount -20%,Rule Based,2026,2000,661,0.3305,779669.888,1207310.936,998
Amount -20%,ML Only,42,2000,1140,0.57,1365514.712,2410164.16,0
Amount -20%,ML Only,123,2000,1129,0.5645,1340470.4640000002,2410164.16,0
Amount -20%,ML Only,456,2000,1122,0.561,1347181.36,2410164.16,0
Amount -20%,ML Only,789,2000,1130,0.565,1390992.688,2410164.16,0
Amount -20%,ML Only,2026,2000,1125,0.5625,1355330.864,2410164.16,0
Amount -20%,RecoveryOS,42,2000,1031,0.5155,1219834.096,2410164.16,0
Amount -20%,RecoveryOS,123,2000,1021,0.5105,1222302.496,2410164.16,0
Amount -20%,RecoveryOS,456,2000,1001,0.5005,1206404.376,2410164.16,0
Amount -20%,RecoveryOS,789,2000,1014,0.507,1243965.928,2410164.16,0
Amount -20%,RecoveryOS,2026,2000,1017,0.5085,1208124.504,2410164.16,0
