profile,transaction_id,preferred_action,final_action,policy_override
Probability Maximizing,txn_009336,reminder,reminder,False
Probability Maximizing,txn_004195,retry,payment_link,True
Probability Maximizing,txn_008001,retry,payment_link,True
Probability Maximizing,txn_007378,reminder,reminder,False
Probability Maximizing,txn_003435,payment_link,payment_link,False
Probability Maximizing,txn_005382,retry,retry,False
Probability Maximizing,txn_000959,retry,payment_link,True
Probability Maximizing,txn_000417,retry,payment_link,True
Probability Maximizing,txn_005742,retry,retry,False
Probability Maximizing,txn_006728,retry,retry,False
Probability Maximizing,txn_004382,reminder,reminder,False
Probability Maximizing,txn_005197,payment_link,payment_link,False
Probability Maximizing,txn_001113,retry,retry,False
Probability Maximizing,txn_002689,retry,retry,False
Probability Maximizing,txn_006473,retry,reminder,True
Probability Maximizing,txn_008820,reminder,reminder,False
Probability Maximizing,txn_007808,reminder,reminder,False
Probability Maximizing,txn_003411,reminder,reminder,False
Probability Maximizing,txn_000081,retry,retry,False
Probability Maximizing,txn_004614,retry,payment_link,True
Probability Maximizing,txn_001374,retry,payment_link,True
Probability Maximizing,txn_001510,retry,reminder,True
Probability Maximizing,txn_006443,retry,retry,False
Probability Maximizing,txn_003071,retry,retry,False
Probability Maximizing,txn_003016,payment_link,payment_link,False
Probability Maximizing,txn_004823,retry,retry,False
Probability Maximizing,txn_007822,retry,payment_link,True
Probability Maximizing,txn_000093,retry,payment_link,True
Probability Maximizing,txn_009421,payment_link,reminder,True
Probability Maximizing,txn_006600,reminder,reminder,False
Probability Maximizing,txn_004443,retry,reminder,True
Probability Maximizing,txn_007602,retry,retry,False
Probability Maximizing,txn_003835,reminder,reminder,False
Probability Maximizing,txn_009702,reminder,reminder,False
Probability Maximizing,txn_004322,retry,payment_link,True
Probability Maximizing,txn_003394,reminder,reminder,False
Probability Maximizing,txn_004752,payment_link,payment_link,False
Probability Maximizing,txn_007229,reminder,reminder,False
Probability Maximizing,txn_009191,reminder,reminder,False
Probability Maximizing,txn_002361,payment_link,reminder,True
Probability Maximizing,txn_001148,retry,payment_link,True
Probability Maximizing,txn_005666,payment_link,payment_link,False
Probability Maximizing,txn_008075,payment_link,reminder,True
Probability Maximizing,txn_004943,retry,retry,False
Probability Maximizing,txn_003663,retry,retry,False
Probability Maximizing,txn_001563,retry,retry,False
Probability Maximizing,txn_004113,retry,payment_link,True
Probability Maximizing,txn_009050,retry,reminder,True
Probability Maximizing,txn_009276,payment_link,payment_link,False
Probability Maximizing,txn_008538,retry,retry,False
Probability Maximizing,txn_000795,retry,retry,False
Probability Maximizing,txn_005854,retry,payment_link,True
Probability Maximizing,txn_007619,retry,payment_link,True
Probability Maximizing,txn_001594,retry,retry,False
Probability Maximizing,txn_007418,retry,retry,False
Probability Maximizing,txn_005267,reminder,reminder,False
Probability Maximizing,txn_007147,payment_link,reminder,True
Probability Maximizing,txn_000089,retry,payment_link,True
Probability Maximizing,txn_008695,reminder,reminder,False
Probability Maximizing,txn_009732,retry,payment_link,True
Probability Maximizing,txn_009446,retry,retry,False
Probability Maximizing,txn_006754,retry,payment_link,True
Probability Maximizing,txn_003502,reminder,reminder,False
Probability Maximizing,txn_002234,retry,payment_link,True
Probability Maximizing,txn_002803,payment_link,reminder,True
Probability Maximizing,txn_004424,retry,reminder,True
Probability Maximizing,txn_005663,payment_link,payment_link,False
Probability Maximizing,txn_007170,retry,payment_link,True
Probability Maximizing,txn_008337,retry,retry,False
Probability Maximizing,txn_002148,reminder,reminder,False
Probability Maximizing,txn_007969,payment_link,payment_link,False
Probability Maximizing,txn_006551,retry,retry,False
Probability Maximizing,txn_007643,retry,payment_link,True
Probability Maximizing,txn_006164,retry,payment_link,True
Probability Maximizing,txn_001495,retry,retry,False
Probability Maximizing,txn_007696,retry,payment_link,True
Probability Maximizing,txn_007094,payment_link,payment_link,False
Probability Maximizing,txn_001409,retry,retry,False
Probability Maximizing,txn_006691,retry,payment_link,True
Probability Maximizing,txn_003401,retry,retry,False
Probability Maximizing,txn_000109,retry,retry,False
Probability Maximizing,txn_005636,payment_link,reminder,True
Probability Maximizing,txn_008482,retry,retry,False
Probability Maximizing,txn_006604,payment_link,payment_link,False
Probability Maximizing,txn_001091,retry,payment_link,True
Probability Maximizing,txn_005560,retry,retry,False
Probability Maximizing,txn_009412,retry,retry,False
Probability Maximizing,txn_008143,retry,retry,False
Probability Maximizing,txn_008664,retry,payment_link,True
Probability Maximizing,txn_006596,retry,retry,False
Probability Maximizing,txn_000624,payment_link,payment_link,False
Probability Maximizing,txn_006871,payment_link,payment_link,False
Probability Maximizing,txn_004814,retry,retry,False
Probability Maximizing,txn_006553,retry,reminder,True
Probability Maximizing,txn_007530,retry,payment_link,True
Probability Maximizing,txn_005796,payment_link,payment_link,False
Probability Maximizing,txn_007437,retry,payment_link,True
Probability Maximizing,txn_004218,retry,payment_link,True
Probability Maximizing,txn_005941,retry,retry,False
Probability Maximizing,txn_008501,payment_link,payment_link,False
Probability Maximizing,txn_006429,retry,payment_link,True
Probability Maximizing,txn_006827,payment_link,payment_link,False
Probability Maximizing,txn_004131,payment_link,reminder,True
Probability Maximizing,txn_007802,retry,retry,False
Probability Maximizing,txn_007754,retry,payment_link,True
Probability Maximizing,txn_004722,retry,payment_link,True
Probability Maximizing,txn_001651,retry,retry,False
Probability Maximizing,txn_004141,reminder,reminder,False
Probability Maximizing,txn_001618,reminder,reminder,False
Probability Maximizing,txn_002030,retry,retry,False
Probability Maximizing,txn_008518,reminder,reminder,False
Probability Maximizing,txn_004576,payment_link,payment_link,False
Probability Maximizing,txn_003993,retry,retry,False
Probability Maximizing,txn_007377,retry,retry,False
Probability Maximizing,txn_006150,retry,payment_link,True
Probability Maximizing,txn_004909,retry,retry,False
Probability Maximizing,txn_005027,retry,payment_link,True
Probability Maximizing,txn_008261,payment_link,payment_link,False
Probability Maximizing,txn_004732,payment_link,payment_link,False
Probability Maximizing,txn_007549,payment_link,retry,True
Probability Maximizing,txn_008135,retry,payment_link,True
Probability Maximizing,txn_001607,retry,retry,False
Probability Maximizing,txn_004774,payment_link,payment_link,False
Probability Maximizing,txn_008110,retry,retry,False
Probability Maximizing,txn_006952,reminder,reminder,False
Probability Maximizing,txn_006005,retry,payment_link,True
Probability Maximizing,txn_007729,retry,retry,False
Probability Maximizing,txn_003542,retry,retry,False
Probability Maximizing,txn_000389,retry,payment_link,True
Probability Maximizing,txn_001795,retry,retry,False
Probability Maximizing,txn_008732,retry,payment_link,True
Probability Maximizing,txn_004920,reminder,reminder,False
Probability Maximizing,txn_005538,payment_link,payment_link,False
Probability Maximizing,txn_003873,retry,payment_link,True
Probability Maximizing,txn_008869,retry,payment_link,True
Probability Maximizing,txn_002255,retry,retry,False
Probability Maximizing,txn_003413,reminder,reminder,False
Probability Maximizing,txn_005460,retry,retry,False
Probability Maximizing,txn_004956,retry,retry,False
Probability Maximizing,txn_007397,reminder,reminder,False
Probability Maximizing,txn_005415,retry,retry,False
Probability Maximizing,txn_007400,payment_link,payment_link,False
Probability Maximizing,txn_007415,payment_link,payment_link,False
Probability Maximizing,txn_009101,payment_link,payment_link,False
Probability Maximizing,txn_004852,payment_link,payment_link,False
Probability Maximizing,txn_002026,reminder,reminder,False
Probability Maximizing,txn_002616,reminder,reminder,False
Probability Maximizing,txn_007389,reminder,reminder,False
Probability Maximizing,txn_002927,retry,reminder,True
Probability Maximizing,txn_001122,retry,retry,False
Probability Maximizing,txn_002911,retry,retry,False
Probability Maximizing,txn_008147,payment_link,payment_link,False
Probability Maximizing,txn_007384,retry,payment_link,True
Probability Maximizing,txn_003483,payment_link,payment_link,False
Probability Maximizing,txn_000796,payment_link,payment_link,False
Probability Maximizing,txn_001576,reminder,reminder,False
Probability Maximizing,txn_006177,payment_link,payment_link,False
Probability Maximizing,txn_006267,reminder,reminder,False
Probability Maximizing,txn_002459,payment_link,payment_link,False
Probability Maximizing,txn_003313,payment_link,payment_link,False
Probability Maximizing,txn_001254,payment_link,payment_link,False
Probability Maximizing,txn_006835,retry,payment_link,True
Probability Maximizing,txn_008795,retry,payment_link,True
Probability Maximizing,txn_003838,retry,payment_link,True
Probability Maximizing,txn_004399,retry,retry,False
Probability Maximizing,txn_003596,payment_link,payment_link,False
Probability Maximizing,txn_006622,retry,payment_link,True
Probability Maximizing,txn_008383,payment_link,payment_link,False
Probability Maximizing,txn_002125,retry,retry,False
Probability Maximizing,txn_003239,payment_link,payment_link,False
Probability Maximizing,txn_005404,payment_link,payment_link,False
Probability Maximizing,txn_005999,retry,payment_link,True
Probability Maximizing,txn_005939,payment_link,payment_link,False
Probability Maximizing,txn_002046,retry,retry,False
Probability Maximizing,txn_001579,reminder,reminder,False
Probability Maximizing,txn_000015,reminder,reminder,False
Probability Maximizing,txn_002674,payment_link,payment_link,False
Probability Maximizing,txn_007017,retry,retry,False
Probability Maximizing,txn_008721,reminder,reminder,False
Probability Maximizing,txn_008850,reminder,reminder,False
Probability Maximizing,txn_004813,retry,retry,False
Probability Maximizing,txn_001085,retry,payment_link,True
Probability Maximizing,txn_004984,retry,retry,False
Probability Maximizing,txn_007156,retry,payment_link,True
Probability Maximizing,txn_002885,retry,retry,False
Probability Maximizing,txn_000334,reminder,reminder,False
Probability Maximizing,txn_007205,retry,retry,False
Probability Maximizing,txn_004368,payment_link,payment_link,False
Probability Maximizing,txn_003080,payment_link,payment_link,False
Probability Maximizing,txn_007204,retry,reminder,True
Probability Maximizing,txn_009910,reminder,reminder,False
Probability Maximizing,txn_008865,retry,payment_link,True
Probability Maximizing,txn_000264,reminder,reminder,False
Probability Maximizing,txn_004338,retry,payment_link,True
Probability Maximizing,txn_008896,retry,retry,False
Probability Maximizing,txn_008448,reminder,reminder,False
Probability Maximizing,txn_005904,payment_link,retry,True
Probability Maximizing,txn_001499,retry,retry,False
Probability Maximizing,txn_004191,retry,retry,False
Probability Maximizing,txn_007486,retry,retry,False
Probability Maximizing,txn_009644,reminder,reminder,False
Probability Maximizing,txn_008311,retry,payment_link,True
Probability Maximizing,txn_007591,retry,payment_link,True
Probability Maximizing,txn_000501,retry,payment_link,True
Probability Maximizing,txn_009156,retry,payment_link,True
Probability Maximizing,txn_009415,retry,retry,False
Probability Maximizing,txn_003096,payment_link,payment_link,False
Probability Maximizing,txn_004632,payment_link,payment_link,False
Probability Maximizing,txn_000368,reminder,reminder,False
Probability Maximizing,txn_004059,payment_link,payment_link,False
Probability Maximizing,txn_008175,retry,payment_link,True
Probability Maximizing,txn_004631,retry,reminder,True
Probability Maximizing,txn_006071,retry,payment_link,True
Probability Maximizing,txn_002665,retry,payment_link,True
Probability Maximizing,txn_001027,payment_link,payment_link,False
Probability Maximizing,txn_005909,retry,retry,False
Probability Maximizing,txn_005051,payment_link,payment_link,False
Probability Maximizing,txn_006329,payment_link,payment_link,False
Probability Maximizing,txn_009734,reminder,reminder,False
Probability Maximizing,txn_001692,reminder,reminder,False
Probability Maximizing,txn_000674,retry,retry,False
Probability Maximizing,txn_005573,retry,retry,False
Probability Maximizing,txn_005767,payment_link,payment_link,False
Probability Maximizing,txn_005157,retry,reminder,True
Probability Maximizing,txn_000734,retry,payment_link,True
Probability Maximizing,txn_003527,retry,retry,False
Probability Maximizing,txn_000569,reminder,reminder,False
Probability Maximizing,txn_009188,retry,payment_link,True
Probability Maximizing,txn_002923,retry,payment_link,True
Probability Maximizing,txn_007912,retry,retry,False
Probability Maximizing,txn_001559,payment_link,reminder,True
Probability Maximizing,txn_000102,retry,payment_link,True
Probability Maximizing,txn_003008,reminder,reminder,False
Probability Maximizing,txn_007202,retry,payment_link,True
Probability Maximizing,txn_000304,payment_link,payment_link,False
Probability Maximizing,txn_000077,payment_link,payment_link,False
Probability Maximizing,txn_006755,retry,payment_link,True
Probability Maximizing,txn_008630,retry,retry,False
Probability Maximizing,txn_001209,reminder,reminder,False
Probability Maximizing,txn_007743,payment_link,payment_link,False
Probability Maximizing,txn_008215,retry,retry,False
Probability Maximizing,txn_008945,payment_link,reminder,True
Probability Maximizing,txn_008414,retry,payment_link,True
Probability Maximizing,txn_001776,retry,reminder,True
Probability Maximizing,txn_003474,reminder,reminder,False
Probability Maximizing,txn_000484,retry,retry,False
Probability Maximizing,txn_002190,reminder,reminder,False
Probability Maximizing,txn_000347,payment_link,payment_link,False
Probability Maximizing,txn_005482,payment_link,payment_link,False
Probability Maximizing,txn_008362,retry,retry,False
Probability Maximizing,txn_001473,reminder,reminder,False
Probability Maximizing,txn_005101,payment_link,payment_link,False
Probability Maximizing,txn_006766,payment_link,payment_link,False
Probability Maximizing,txn_008707,retry,payment_link,True
Probability Maximizing,txn_004930,retry,retry,False
Probability Maximizing,txn_006330,retry,payment_link,True
Probability Maximizing,txn_002610,retry,payment_link,True
Probability Maximizing,txn_000004,payment_link,payment_link,False
Probability Maximizing,txn_002214,retry,retry,False
Probability Maximizing,txn_004828,retry,payment_link,True
Probability Maximizing,txn_000857,payment_link,payment_link,False
Probability Maximizing,txn_006978,retry,retry,False
Probability Maximizing,txn_005886,reminder,reminder,False
Probability Maximizing,txn_000625,retry,retry,False
Probability Maximizing,txn_000291,retry,retry,False
Probability Maximizing,txn_002019,reminder,reminder,False
Probability Maximizing,txn_000669,retry,payment_link,True
Probability Maximizing,txn_008922,retry,payment_link,True
Probability Maximizing,txn_008265,payment_link,payment_link,False
Probability Maximizing,txn_009697,payment_link,payment_link,False
Probability Maximizing,txn_001632,payment_link,payment_link,False
Probability Maximizing,txn_005171,reminder,reminder,False
Probability Maximizing,txn_007206,retry,payment_link,True
Probability Maximizing,txn_002523,reminder,reminder,False
Probability Maximizing,txn_002216,payment_link,payment_link,False
Probability Maximizing,txn_006969,retry,payment_link,True
Probability Maximizing,txn_006497,retry,payment_link,True
Probability Maximizing,txn_006214,payment_link,reminder,True
Probability Maximizing,txn_007033,reminder,reminder,False
Probability Maximizing,txn_007421,payment_link,reminder,True
Probability Maximizing,txn_001108,retry,retry,False
Probability Maximizing,txn_000451,reminder,reminder,False
Probability Maximizing,txn_006290,retry,payment_link,True
Probability Maximizing,txn_009967,retry,retry,False
Probability Maximizing,txn_000136,retry,payment_link,True
Probability Maximizing,txn_001786,payment_link,reminder,True
Probability Maximizing,txn_003405,retry,payment_link,True
Probability Maximizing,txn_002907,payment_link,payment_link,False
Probability Maximizing,txn_008305,retry,retry,False
Probability Maximizing,txn_007493,retry,payment_link,True
Probability Maximizing,txn_006101,retry,retry,False
Probability Maximizing,txn_004505,reminder,reminder,False
Probability Maximizing,txn_005054,payment_link,reminder,True
Probability Maximizing,txn_005206,retry,retry,False
Probability Maximizing,txn_004081,retry,reminder,True
Probability Maximizing,txn_006919,payment_link,payment_link,False
Probability Maximizing,txn_006803,payment_link,payment_link,False
Probability Maximizing,txn_005207,payment_link,payment_link,False
Probability Maximizing,txn_000533,payment_link,payment_link,False
Probability Maximizing,txn_004831,retry,payment_link,True
Probability Maximizing,txn_004039,reminder,reminder,False
Probability Maximizing,txn_004085,retry,retry,False
Probability Maximizing,txn_003205,payment_link,payment_link,False
Probability Maximizing,txn_007111,retry,payment_link,True
Probability Maximizing,txn_000331,payment_link,payment_link,False
Probability Maximizing,txn_004958,retry,retry,False
Probability Maximizing,txn_003034,retry,reminder,True
Probability Maximizing,txn_007685,reminder,reminder,False
Probability Maximizing,txn_001598,retry,retry,False
Probability Maximizing,txn_009920,reminder,reminder,False
Probability Maximizing,txn_003598,reminder,reminder,False
Probability Maximizing,txn_009039,retry,payment_link,True
Probability Maximizing,txn_008002,retry,payment_link,True
Probability Maximizing,txn_000591,reminder,reminder,False
Probability Maximizing,txn_000648,payment_link,payment_link,False
Probability Maximizing,txn_009103,retry,payment_link,True
Probability Maximizing,txn_008016,reminder,reminder,False
Probability Maximizing,txn_003772,payment_link,payment_link,False
Probability Maximizing,txn_009040,retry,retry,False
Probability Maximizing,txn_005083,retry,payment_link,True
Probability Maximizing,txn_007883,payment_link,payment_link,False
Probability Maximizing,txn_009363,payment_link,payment_link,False
Probability Maximizing,txn_004211,reminder,reminder,False
Probability Maximizing,txn_008835,payment_link,payment_link,False
Probability Maximizing,txn_008700,payment_link,reminder,True
Probability Maximizing,txn_001796,retry,retry,False
Probability Maximizing,txn_002587,reminder,reminder,False
Probability Maximizing,txn_008356,payment_link,payment_link,False
Probability Maximizing,txn_002317,payment_link,payment_link,False
Probability Maximizing,txn_004186,payment_link,reminder,True
Probability Maximizing,txn_008828,payment_link,reminder,True
Probability Maximizing,txn_007073,retry,payment_link,True
Probability Maximizing,txn_005235,retry,retry,False
Probability Maximizing,txn_008744,retry,payment_link,True
Probability Maximizing,txn_008671,retry,reminder,True
Probability Maximizing,txn_004769,payment_link,reminder,True
Probability Maximizing,txn_009973,reminder,reminder,False
