transaction_id,amount,failure_reason,ml_action,ml_probability,preferred_action,recoveryos_action,policy_changed,ml_recovery_probability,recoveryos_recovery_probability,ml_recovered,recoveryos_recovered,impact,policy_reasons
txn_000583,1024.04,gateway_error,retry,0.7139278519964289,retry,retry,False,0.7263200000000001,0.7263200000000001,1,1,no_change,
txn_009931,7530.98,bank_decline,retry,0.6057281261064763,retry,retry,False,0.63,0.63,1,1,no_change,
txn_007052,504.69,network_error,retry,0.6981218781968636,retry,payment_link,True,0.6483399999999999,0.34834,0,0,same_outcome,
txn_008159,444.29,bank_decline,retry,0.4303661573553441,payment_link,payment_link,True,0.35763999999999996,0.25764000000000004,0,0,same_outcome,
txn_009897,504.07,network_error,retry,0.7609582513805945,retry,retry,False,0.77,0.77,1,1,no_change,
txn_002250,2058.84,expired_card,payment_link,0.6604385222331238,payment_link,payment_link,False,0.70684,0.70684,1,1,no_change,
txn_004641,1752.14,network_error,retry,0.6684405692055875,retry,payment_link,True,0.6733399999999999,0.37334,0,0,same_outcome,
txn_009486,675.86,expired_card,payment_link,0.5826221132039542,payment_link,payment_link,False,0.66272,0.66272,0,0,no_change,
txn_004948,712.79,insufficient_balance,retry,0.6142718352776467,retry,retry,False,0.51552,0.51552,0,0,no_change,
txn_009921,1377.62,authentication_failed,payment_link,0.6737334504350261,payment_link,payment_link,False,0.69048,0.69048,1,1,no_change,
txn_001964,1742.1,bank_decline,retry,0.6083257284614242,retry,retry,False,0.53846,0.53846,1,1,no_change,
txn_008244,1474.04,insufficient_balance,reminder,0.4834686035466406,reminder,reminder,False,0.39999999999999997,0.39999999999999997,1,1,no_change,
txn_006591,2109.11,insufficient_balance,reminder,0.494203243498339,reminder,reminder,False,0.4579399999999999,0.4579399999999999,1,1,no_change,
txn_008848,500.78,network_error,retry,0.6619383794958759,retry,retry,False,0.76428,0.76428,1,1,no_change,
txn_000322,1859.44,gateway_error,retry,0.5904965363460605,retry,reminder,True,0.59238,0.31238,0,0,same_outcome,
txn_002679,1593.71,expired_card,payment_link,0.6491538274432505,payment_link,payment_link,False,0.72384,0.72384,0,0,no_change,
txn_004626,704.45,insufficient_balance,retry,0.5555207874686555,reminder,reminder,True,0.35,0.48000000000000004,1,1,same_outcome,
txn_004950,749.52,authentication_failed,reminder,0.5865081796642767,reminder,reminder,False,0.47182,0.47182,1,1,no_change,
txn_008329,1638.77,insufficient_balance,reminder,0.3970220479301263,reminder,reminder,False,0.31999999999999995,0.31999999999999995,0,0,no_change,
txn_003338,1334.5,network_error,retry,0.7278325058025744,retry,retry,False,0.73522,0.73522,1,1,no_change,
txn_005590,1575.69,network_error,retry,0.6926833131030151,retry,retry,False,0.71546,0.71546,1,1,no_change,
txn_000252,611.76,gateway_error,retry,0.5689522590706723,retry,reminder,True,0.5917199999999999,0.31172,1,0,policy_hurt,
txn_003974,784.78,authentication_failed,payment_link,0.6090205669419992,payment_link,payment_link,False,0.56286,0.56286,1,1,no_change,
txn_006631,827.97,bank_decline,retry,0.592778611448508,retry,retry,False,0.54482,0.54482,0,0,no_change,
txn_005548,1240.13,authentication_failed,payment_link,0.6405385308725894,payment_link,payment_link,False,0.60096,0.60096,1,1,no_change,
txn_000036,1263.02,gateway_error,retry,0.6008442983148213,retry,payment_link,True,0.64,0.39,0,0,same_outcome,
txn_008363,662.48,insufficient_balance,reminder,0.6124274421525807,reminder,reminder,False,0.58824,0.58824,0,0,no_change,
txn_001514,1602.86,gateway_error,retry,0.24108900288565405,retry,reminder,True,0.38999999999999996,0.11,1,0,policy_hurt,
txn_009318,2388.5,insufficient_balance,payment_link,0.632602876358276,payment_link,reminder,True,0.55556,0.63556,0,0,same_outcome,
txn_000040,391.53,bank_decline,retry,0.4658266099572286,retry,payment_link,True,0.37636000000000003,0.27635999999999994,0,0,same_outcome,
txn_004820,526.11,gateway_error,retry,0.6330503650430547,retry,payment_link,True,0.64,0.39,1,1,same_outcome,
txn_003466,7884.76,bank_decline,retry,0.5416031019468873,retry,retry,False,0.5800000000000001,0.5800000000000001,1,1,no_change,
txn_001761,530.09,expired_card,payment_link,0.560775025913462,payment_link,payment_link,False,0.57,0.57,0,0,no_change,
txn_002305,2448.3,network_error,retry,0.7001586149738201,retry,retry,False,0.78914,0.78914,1,1,no_change,
txn_003724,613.81,expired_card,payment_link,0.7328215701986847,payment_link,payment_link,False,0.8,0.8,1,1,no_change,
txn_008285,676.81,expired_card,payment_link,0.6090684352996181,payment_link,payment_link,False,0.61,0.61,1,1,no_change,
txn_004994,5977.69,bank_decline,retry,0.6060769448319306,retry,retry,False,0.65778,0.65778,0,0,no_change,
txn_008128,649.27,gateway_error,retry,0.7910013913078213,retry,retry,False,0.7749999999999999,0.7749999999999999,1,1,no_change,
txn_003033,627.3,expired_card,payment_link,0.5865278557809251,payment_link,payment_link,False,0.56714,0.56714,0,0,no_change,
txn_007939,279.48,expired_card,payment_link,0.694891439876824,payment_link,payment_link,False,0.82648,0.82648,1,1,no_change,
txn_003040,189.26,bank_decline,reminder,0.3780400863972057,reminder,reminder,False,0.3,0.3,0,0,no_change,
txn_009656,442.64,bank_decline,retry,0.5501460786020644,retry,retry,False,0.55,0.55,0,0,no_change,
txn_002546,1504.1,bank_decline,retry,0.46366117791313105,retry,payment_link,True,0.39,0.29000000000000004,1,1,same_outcome,
txn_002593,905.79,authentication_failed,payment_link,0.6426965772375774,payment_link,payment_link,False,0.6142799999999999,0.6142799999999999,1,1,no_change,
txn_001189,1604.23,bank_decline,retry,0.6765105617473712,retry,retry,False,0.65142,0.65142,0,0,no_change,
txn_007967,1625.86,bank_decline,retry,0.4801836803669438,retry,payment_link,True,0.376,0.276,0,0,same_outcome,
txn_006078,3650.97,bank_decline,retry,0.675445826761647,retry,retry,False,0.6694800000000001,0.6694800000000001,1,1,no_change,
txn_000108,382.43,insufficient_balance,reminder,0.5988383601261074,reminder,reminder,False,0.5777800000000001,0.5777800000000001,0,0,no_change,
txn_001316,6570.59,bank_decline,retry,0.6924670767303426,retry,retry,False,0.65142,0.65142,1,1,no_change,
txn_008188,564.95,bank_decline,retry,0.5847180984745359,retry,payment_link,True,0.5199999999999999,0.41999999999999993,0,0,same_outcome,
txn_002754,1185.83,gateway_error,retry,0.7470724929684847,retry,retry,False,0.79166,0.79166,1,1,no_change,
txn_009754,100.0,gateway_error,retry,0.5802203463748002,retry,payment_link,True,0.59238,0.34238,1,1,same_outcome,
txn_006232,990.31,gateway_error,retry,0.5651629144232824,retry,payment_link,True,0.5599999999999999,0.30999999999999994,1,1,same_outcome,
txn_002877,3224.27,bank_decline,retry,0.5055040692375207,retry,payment_link,True,0.46285999999999994,0.36285999999999996,1,0,policy_hurt,
txn_005324,3996.33,insufficient_balance,reminder,0.4362966600555444,reminder,reminder,False,0.3400000000000001,0.3400000000000001,1,1,no_change,
txn_000800,865.91,authentication_failed,reminder,0.5218086772453859,reminder,reminder,False,0.43616,0.43616,1,1,no_change,
txn_003571,1009.9,gateway_error,retry,0.6410604417891121,retry,retry,False,0.6819000000000001,0.6819000000000001,0,0,no_change,
txn_002895,504.44,insufficient_balance,reminder,0.5932536507494705,reminder,reminder,False,0.6,0.6,1,1,no_change,
txn_002928,1924.14,network_error,retry,0.590438144517449,retry,payment_link,True,0.5700000000000001,0.27,1,1,same_outcome,
txn_008179,1572.41,insufficient_balance,reminder,0.5584860481066507,reminder,reminder,False,0.4999999999999999,0.4999999999999999,1,1,no_change,
txn_000972,931.24,bank_decline,retry,0.6841156141528253,retry,retry,False,0.64,0.64,1,1,no_change,
txn_006688,440.03,gateway_error,retry,0.5362825991483566,retry,reminder,True,0.52666,0.24666000000000005,0,0,same_outcome,
txn_008576,1982.06,bank_decline,reminder,0.27562547431864864,reminder,reminder,False,0.21999999999999997,0.21999999999999997,0,0,no_change,
txn_002021,710.51,insufficient_balance,reminder,0.5819652198984738,reminder,reminder,False,0.61684,0.61684,0,0,no_change,
txn_009055,2255.22,insufficient_balance,reminder,0.6237336973407239,reminder,reminder,False,0.6675,0.6675,1,1,no_change,
txn_000953,659.42,expired_card,payment_link,0.6043211624253273,payment_link,payment_link,False,0.6566599999999999,0.6566599999999999,1,1,no_change,
txn_005360,920.12,network_error,retry,0.6711779156192659,retry,payment_link,True,0.64,0.33999999999999997,0,0,same_outcome,
txn_003858,626.91,bank_decline,retry,0.6931259246605165,retry,retry,False,0.63384,0.63384,1,1,no_change,
txn_005862,679.11,network_error,retry,0.6168942443693998,retry,payment_link,True,0.56,0.26,1,1,same_outcome,
txn_003146,1737.92,authentication_failed,reminder,0.5304632516911157,reminder,reminder,False,0.42333999999999994,0.42333999999999994,1,1,no_change,
txn_003306,264.05,gateway_error,retry,0.5855860703674505,retry,reminder,True,0.64,0.36,0,0,same_outcome,
txn_003007,865.7,gateway_error,retry,0.7205206393554965,retry,retry,False,0.7263200000000001,0.7263200000000001,1,1,no_change,
txn_009002,775.37,network_error,retry,0.6859314266402717,retry,retry,False,0.70794,0.70794,1,1,no_change,
txn_007771,1249.85,authentication_failed,payment_link,0.32170930694618055,payment_link,payment_link,False,0.21000000000000002,0.21000000000000002,0,0,no_change,
txn_007439,344.12,bank_decline,retry,0.5646240554593079,retry,reminder,True,0.45333999999999997,0.32333999999999996,1,1,same_outcome,
txn_007943,1328.09,bank_decline,retry,0.5506231248485057,retry,payment_link,True,0.46399999999999986,0.3639999999999999,0,0,same_outcome,
txn_009239,158.88,authentication_failed,payment_link,0.46208920020959565,payment_link,payment_link,False,0.38728000000000007,0.38728000000000007,0,0,no_change,
txn_001057,2112.17,bank_decline,retry,0.6880978147559877,retry,retry,False,0.65648,0.65648,1,1,no_change,
txn_003155,448.49,expired_card,payment_link,0.5768231070102997,payment_link,payment_link,False,0.59,0.59,1,1,no_change,
txn_003788,1414.01,gateway_error,retry,0.5775952428371582,retry,reminder,True,0.6177799999999999,0.33777999999999997,0,0,same_outcome,
txn_009190,546.71,insufficient_balance,reminder,0.6026620142531277,reminder,reminder,False,0.53334,0.53334,1,1,no_change,
txn_007826,329.39,bank_decline,retry,0.6393513843548941,retry,retry,False,0.65778,0.65778,1,1,no_change,
txn_007540,1744.64,authentication_failed,payment_link,0.6340193396126653,payment_link,payment_link,False,0.63334,0.63334,1,1,no_change,
txn_007232,419.18,insufficient_balance,payment_link,0.3809717167502047,payment_link,reminder,True,0.31000000000000005,0.39,0,0,same_outcome,
txn_000765,485.71,network_error,retry,0.7722083458890878,retry,retry,False,0.85,0.85,0,0,no_change,
txn_005020,508.77,authentication_failed,payment_link,0.5543203378189469,payment_link,payment_link,False,0.52096,0.52096,0,0,no_change,
txn_004904,2556.05,authentication_failed,reminder,0.5391696712483595,reminder,reminder,False,0.42333999999999994,0.42333999999999994,1,1,no_change,
txn_008094,1807.64,gateway_error,retry,0.6252708024356406,retry,payment_link,True,0.64,0.39,0,0,same_outcome,
txn_006844,556.95,insufficient_balance,reminder,0.6426359225731472,reminder,reminder,False,0.6,0.6,0,0,no_change,
txn_002166,3180.35,insufficient_balance,payment_link,0.6250993145461978,payment_link,reminder,True,0.55556,0.63556,0,0,same_outcome,
txn_001863,280.76,gateway_error,retry,0.2920170825481371,reminder,reminder,True,0.38999999999999996,0.11,0,0,same_outcome,
txn_007851,378.64,expired_card,payment_link,0.4657603395640942,payment_link,payment_link,False,0.57,0.57,1,1,no_change,
txn_009124,1763.63,insufficient_balance,reminder,0.6482013816506234,reminder,reminder,False,0.65778,0.65778,1,1,no_change,
txn_002341,1352.19,network_error,retry,0.6258334033628636,retry,payment_link,True,0.69,0.39,0,0,same_outcome,
txn_005528,1109.49,expired_card,payment_link,0.6989135193817442,payment_link,payment_link,False,0.778,0.778,1,1,no_change,
txn_006744,1061.62,insufficient_balance,retry,0.6125922759790815,retry,retry,False,0.44392000000000004,0.44392000000000004,1,1,no_change,
txn_004004,1223.27,bank_decline,retry,0.6860031670899435,retry,retry,False,0.63556,0.63556,1,1,no_change,
txn_001124,2788.97,authentication_failed,payment_link,0.4318943760481719,payment_link,payment_link,False,0.385,0.385,0,0,no_change,
txn_008710,940.92,gateway_error,retry,0.5450343394346575,retry,reminder,True,0.512,0.23200000000000004,1,1,same_outcome,
txn_004050,1397.7,bank_decline,retry,0.477805295668447,retry,payment_link,True,0.39556,0.29556000000000004,0,0,same_outcome,
txn_007641,1018.81,bank_decline,retry,0.5760579883044578,retry,reminder,True,0.48,0.35,0,0,same_outcome,
txn_000766,1059.37,authentication_failed,payment_link,0.5307870810677771,payment_link,payment_link,False,0.50364,0.50364,0,0,no_change,
txn_002345,3337.83,insufficient_balance,reminder,0.5439411140030429,reminder,reminder,False,0.44499999999999995,0.44499999999999995,1,1,no_change,
txn_004072,668.9,gateway_error,retry,0.5601300556548925,retry,payment_link,True,0.54666,0.29666000000000003,0,0,same_outcome,
txn_007217,766.28,bank_decline,retry,0.5300977845656734,retry,payment_link,True,0.39,0.29000000000000004,0,0,same_outcome,
txn_004217,7391.14,authentication_failed,reminder,0.6288400663649748,reminder,reminder,False,0.44199999999999995,0.44199999999999995,0,0,no_change,
txn_007953,2070.06,network_error,retry,0.7868332057124199,retry,retry,False,0.82894,0.82894,1,1,no_change,
txn_005971,2895.34,network_error,retry,0.4830338630047935,retry,retry,False,0.57,0.57,1,1,no_change,
txn_003351,2234.44,gateway_error,retry,0.6991807474709657,retry,retry,False,0.72,0.72,1,1,no_change,
txn_004696,744.15,gateway_error,retry,0.49004703102847336,retry,payment_link,True,0.4933399999999999,0.24333999999999995,0,0,same_outcome,
txn_003400,684.87,bank_decline,retry,0.5975194732729074,retry,retry,False,0.56364,0.56364,1,1,no_change,
txn_004082,725.43,bank_decline,payment_link,0.2468593072656024,reminder,reminder,True,0.16999999999999998,0.13999999999999996,1,0,policy_hurt,
txn_009150,1077.56,authentication_failed,reminder,0.6069539531509033,reminder,reminder,False,0.5700000000000001,0.5700000000000001,1,1,no_change,
txn_001225,1272.8,insufficient_balance,reminder,0.5557967227308355,reminder,reminder,False,0.5000000000000001,0.5000000000000001,0,0,no_change,
txn_006293,891.81,bank_decline,retry,0.6571157867330765,retry,retry,False,0.62286,0.62286,1,1,no_change,
txn_003123,1325.08,gateway_error,retry,0.6726989833717149,retry,retry,False,0.67556,0.67556,0,0,no_change,
txn_000511,1984.31,bank_decline,retry,0.5532295597621567,retry,reminder,True,0.5199999999999999,0.39,0,0,same_outcome,
txn_005795,501.17,bank_decline,retry,0.6738500850041363,retry,retry,False,0.65334,0.65334,1,1,no_change,
txn_008182,884.15,gateway_error,retry,0.6737958009311321,retry,retry,False,0.7,0.7,1,1,no_change,
txn_009418,1036.02,insufficient_balance,reminder,0.4333659288762655,reminder,reminder,False,0.39556,0.39556,1,1,no_change,
txn_000097,690.88,gateway_error,retry,0.5378708310285651,retry,payment_link,True,0.5733399999999998,0.32333999999999996,0,0,same_outcome,
txn_006682,1785.1,authentication_failed,reminder,0.5923580805343074,reminder,reminder,False,0.49,0.49,1,1,no_change,
txn_001513,1189.22,bank_decline,retry,0.6162877802592309,retry,retry,False,0.53846,0.53846,0,0,no_change,
txn_008792,1267.39,bank_decline,retry,0.4675913825912686,retry,payment_link,True,0.40666,0.30666000000000004,1,1,same_outcome,
txn_000120,4619.66,insufficient_balance,reminder,0.444573206984107,reminder,reminder,False,0.3400000000000001,0.3400000000000001,0,0,no_change,
txn_007792,557.89,insufficient_balance,reminder,0.5113980798322627,reminder,reminder,False,0.48,0.48,0,0,no_change,
txn_006518,1091.19,bank_decline,retry,0.6773651059512743,retry,retry,False,0.6799999999999999,0.6799999999999999,0,0,no_change,
txn_000034,379.51,insufficient_balance,reminder,0.5826129953528809,reminder,reminder,False,0.5199999999999999,0.5199999999999999,0,0,no_change,
txn_007888,3254.57,gateway_error,retry,0.6750709625609381,retry,retry,False,0.67556,0.67556,1,1,no_change,
txn_006831,506.31,bank_decline,retry,0.5558584512928081,retry,payment_link,True,0.42572,0.32572,1,1,same_outcome,
txn_005422,1970.07,bank_decline,retry,0.18695631253359618,retry,payment_link,True,0.19,0.09000000000000001,0,0,same_outcome,
txn_001069,862.42,network_error,retry,0.30608985131541844,retry,payment_link,True,0.35999999999999993,0.059999999999999984,0,0,same_outcome,
txn_001348,1422.85,authentication_failed,reminder,0.5576176970871107,reminder,reminder,False,0.43286,0.43286,0,0,no_change,
txn_004748,675.78,network_error,retry,0.4255860090827548,retry,retry,False,0.5199999999999999,0.5199999999999999,1,1,no_change,
txn_006006,1019.81,network_error,retry,0.5607038378135303,retry,payment_link,True,0.54846,0.24845999999999996,0,0,same_outcome,
txn_006040,2228.21,network_error,retry,0.6119251390194563,retry,payment_link,True,0.60666,0.30666000000000004,0,0,same_outcome,
txn_003818,789.45,authentication_failed,payment_link,0.4463207217776617,payment_link,payment_link,False,0.39334,0.39334,1,1,no_change,
txn_008447,3400.45,expired_card,payment_link,0.5838113446922207,payment_link,payment_link,False,0.5566599999999999,0.5566599999999999,1,1,no_change,
txn_005270,487.66,insufficient_balance,reminder,0.6332287814781686,reminder,reminder,False,0.63,0.63,1,1,no_change,
txn_006898,1169.32,gateway_error,retry,0.5217849030649597,retry,payment_link,True,0.5399999999999999,0.29000000000000004,0,0,same_outcome,
txn_005310,1445.39,bank_decline,retry,0.5164353288621453,retry,reminder,True,0.45846,0.32846,1,1,same_outcome,
txn_000032,962.22,bank_decline,payment_link,0.3127652575821292,payment_link,payment_link,False,0.33,0.33,0,0,no_change,
txn_005675,287.61,gateway_error,retry,0.5332100057697761,retry,retry,False,0.664,0.664,0,0,no_change,
txn_004387,1426.16,network_error,retry,0.5895021962236937,retry,payment_link,True,0.57924,0.27924000000000004,0,0,same_outcome,
txn_000030,411.75,bank_decline,retry,0.6883270148292229,retry,retry,False,0.6799999999999999,0.6799999999999999,1,1,no_change,
txn_004203,4801.78,network_error,retry,0.6365050007418617,retry,payment_link,True,0.6525,0.35250000000000004,0,0,same_outcome,
txn_007508,1156.32,insufficient_balance,reminder,0.37902041606145553,reminder,reminder,False,0.39556,0.39556,1,1,no_change,
txn_000736,1232.0,bank_decline,reminder,0.2933844945807662,reminder,reminder,False,0.3,0.3,1,1,no_change,
txn_002068,5034.75,insufficient_balance,reminder,0.6181620656117858,reminder,reminder,False,0.64666,0.64666,1,1,no_change,
txn_000107,301.11,authentication_failed,reminder,0.5088454897018132,reminder,reminder,False,0.42333999999999994,0.42333999999999994,1,1,no_change,
txn_009645,500.2,authentication_failed,payment_link,0.4340955492913302,payment_link,payment_link,False,0.39334,0.39334,0,0,no_change,
txn_008895,574.57,expired_card,payment_link,0.533683290624255,payment_link,payment_link,False,0.5655600000000001,0.5655600000000001,0,0,no_change,
txn_008021,1031.36,network_error,retry,0.7544495661828098,retry,retry,False,0.7200000000000001,0.7200000000000001,1,1,no_change,
txn_002233,1406.09,expired_card,payment_link,0.7612543896829056,payment_link,payment_link,False,0.8,0.8,0,0,no_change,
txn_000994,1163.74,insufficient_balance,reminder,0.4399080049717812,reminder,reminder,False,0.41500000000000004,0.41500000000000004,1,1,no_change,
txn_009413,220.31,gateway_error,retry,0.4916783573829912,retry,payment_link,True,0.4933399999999999,0.24333999999999995,0,0,same_outcome,
txn_007059,2660.13,network_error,retry,0.734489483995627,retry,retry,False,0.85,0.85,1,1,no_change,
txn_006790,1538.07,authentication_failed,reminder,0.5486736643818382,reminder,reminder,False,0.44714,0.44714,0,0,no_change,
txn_000361,1567.64,expired_card,payment_link,0.6290061038675157,payment_link,payment_link,False,0.65,0.65,1,1,no_change,
txn_000305,1970.3,expired_card,payment_link,0.6580733505344237,payment_link,payment_link,False,0.6938000000000001,0.6938000000000001,1,1,no_change,
txn_002628,731.08,gateway_error,retry,0.7209799868234128,retry,retry,False,0.7200000000000001,0.7200000000000001,1,1,no_change,
txn_008966,286.73,bank_decline,retry,0.47820404845979025,retry,reminder,True,0.41272,0.2827200000000001,0,0,same_outcome,
txn_004514,4566.11,network_error,retry,0.6375207810055871,retry,payment_link,True,0.62044,0.32043999999999995,0,0,same_outcome,
txn_005911,431.59,insufficient_balance,reminder,0.6537575287950661,reminder,reminder,False,0.6799999999999999,0.6799999999999999,0,0,no_change,
txn_008314,1030.43,authentication_failed,reminder,0.47974385594482605,reminder,reminder,False,0.38272000000000006,0.38272000000000006,0,0,no_change,
txn_003101,1919.38,authentication_failed,payment_link,0.6401894996194692,payment_link,payment_link,False,0.56482,0.56482,0,0,no_change,
txn_005704,1278.03,authentication_failed,reminder,0.4586878025195813,reminder,reminder,False,0.37666,0.37666,0,0,no_change,
txn_003899,232.39,gateway_error,retry,0.5819922427209769,retry,reminder,True,0.58482,0.30482,1,0,policy_hurt,
txn_005441,2568.3,gateway_error,retry,0.7629202775954546,retry,retry,False,0.8,0.8,1,1,no_change,
txn_007931,1283.79,authentication_failed,reminder,0.472637723690837,reminder,reminder,False,0.35286000000000006,0.35286000000000006,0,0,no_change,
txn_000622,1202.48,insufficient_balance,reminder,0.62196647060529,reminder,reminder,False,0.655,0.655,1,1,no_change,
txn_007236,565.74,insufficient_balance,reminder,0.544960794519319,reminder,reminder,False,0.48666,0.48666,1,1,no_change,
txn_002499,349.0,authentication_failed,payment_link,0.5214494898404242,payment_link,payment_link,False,0.4225000000000001,0.4225000000000001,0,0,no_change,
txn_000714,1414.72,insufficient_balance,reminder,0.6407727698328414,reminder,reminder,False,0.65142,0.65142,1,1,no_change,
txn_008404,5476.61,gateway_error,retry,0.5018086439045802,retry,payment_link,True,0.47428000000000003,0.22427999999999998,0,0,same_outcome,
txn_002856,2832.47,insufficient_balance,reminder,0.6301557517016131,reminder,reminder,False,0.65038,0.65038,1,1,no_change,
txn_004270,367.26,insufficient_balance,reminder,0.5376306420000863,reminder,reminder,False,0.46285999999999994,0.46285999999999994,1,1,no_change,
txn_002909,3596.44,authentication_failed,payment_link,0.6407693320624834,payment_link,payment_link,False,0.7,0.7,0,0,no_change,
txn_008081,1184.73,bank_decline,retry,0.4868612154179245,retry,payment_link,True,0.3854599999999999,0.28545999999999994,1,1,same_outcome,
txn_004517,1213.1,authentication_failed,reminder,0.6368469687626335,reminder,reminder,False,0.54142,0.54142,1,1,no_change,
txn_001262,9186.11,gateway_error,retry,0.6434027905100101,retry,retry,False,0.7333399999999999,0.7333399999999999,1,1,no_change,
txn_003161,291.03,gateway_error,retry,0.5897690187253382,retry,retry,False,0.656,0.656,0,0,no_change,
txn_000971,210.94,bank_decline,retry,0.6328060164066287,retry,retry,False,0.55,0.55,1,1,no_change,
txn_003913,509.72,authentication_failed,payment_link,0.5359588165718607,payment_link,payment_link,False,0.5159999999999999,0.5159999999999999,1,1,no_change,
txn_005199,2492.86,network_error,retry,0.572546940269324,retry,payment_link,True,0.59,0.29000000000000004,0,0,same_outcome,
txn_008847,502.3,bank_decline,retry,0.6020462165491359,retry,retry,False,0.61334,0.61334,0,0,no_change,
txn_000260,1842.2,authentication_failed,reminder,0.5276282466313053,reminder,reminder,False,0.43286,0.43286,0,0,no_change,
txn_003791,775.79,bank_decline,retry,0.4868173881615065,retry,payment_link,True,0.3854599999999999,0.28545999999999994,1,1,same_outcome,
txn_009203,1167.74,expired_card,payment_link,0.7088190267323938,payment_link,payment_link,False,0.78684,0.78684,1,1,no_change,
txn_000488,644.16,authentication_failed,reminder,0.5654203472654586,reminder,reminder,False,0.49,0.49,1,1,no_change,
txn_007908,1213.86,expired_card,payment_link,0.5798298072126638,payment_link,payment_link,False,0.61,0.61,1,1,no_change,
txn_000519,481.64,gateway_error,retry,0.7518593972488139,retry,retry,False,0.76364,0.76364,1,1,no_change,
txn_008343,775.68,bank_decline,retry,0.5768384861788194,retry,retry,False,0.51428,0.51428,1,1,no_change,
txn_000312,2030.19,network_error,retry,0.7480694540962168,retry,retry,False,0.77,0.77,1,1,no_change,
txn_003232,481.2,network_error,retry,0.7376732046910844,retry,retry,False,0.67,0.67,0,0,no_change,
txn_007933,753.07,gateway_error,retry,0.7269319080062544,retry,retry,False,0.7124999999999999,0.7124999999999999,1,1,no_change,
txn_007458,2644.67,insufficient_balance,reminder,0.4937295699080462,reminder,reminder,False,0.44857999999999987,0.44857999999999987,1,1,no_change,
txn_009784,680.73,bank_decline,retry,0.5418221088761264,retry,payment_link,True,0.42000000000000004,0.32000000000000006,0,0,same_outcome,
txn_005184,2343.9,network_error,retry,0.5818510194801738,retry,payment_link,True,0.5700000000000001,0.27,0,0,same_outcome,
txn_008077,1620.73,bank_decline,retry,0.6131287938783249,retry,retry,False,0.5750000000000001,0.5750000000000001,0,0,no_change,
txn_006502,428.35,bank_decline,retry,0.5881139424674745,retry,retry,False,0.56364,0.56364,1,1,no_change,
txn_006791,1754.27,network_error,retry,0.6471066728230925,retry,payment_link,True,0.55782,0.25782,1,1,same_outcome,
txn_007773,695.31,bank_decline,retry,0.5100186182577534,retry,payment_link,True,0.36173999999999995,0.26174,0,0,same_outcome,
txn_002738,253.82,network_error,retry,0.3996846448645882,retry,retry,False,0.5199999999999999,0.5199999999999999,1,1,no_change,
txn_007842,981.88,bank_decline,retry,0.5233244235709331,retry,payment_link,True,0.44999999999999996,0.35,1,1,same_outcome,
txn_006262,1729.26,expired_card,payment_link,0.30522865088635576,payment_link,payment_link,False,0.5199999999999999,0.5199999999999999,1,1,no_change,
txn_008206,2750.82,bank_decline,retry,0.5894989643139045,retry,retry,False,0.61334,0.61334,0,0,no_change,
txn_001248,2157.68,gateway_error,retry,0.6944429029598467,retry,retry,False,0.7200000000000001,0.7200000000000001,0,0,no_change,
txn_009336,2409.03,insufficient_balance,reminder,0.5423144287876994,reminder,reminder,False,0.48363999999999996,0.48363999999999996,1,1,no_change,
